"Date";"Days from today";"Cases (reported)";"New daily cases (reported)";"Cases (total)";"New daily cases (total)";"Incubation period";"Infectious and unreported";"Undergoing treatment";"CDC 25% ETU target";"CDC 45% reduced transmission target";"Reporting quotient"
"2015-02-10";"90";" 56688 (  2208, 111168)";"1367 ( -427,  3161)";" 306518 (  -7359,  620395)";" 7343 (-2639, 17324)";" 84666 (-30655, 199988)";" 54619 (-17246, 126485)";"10134 ( -2667, 22935)";"16188 (-2061,  34437)";" 29139 ( -3710,  61987)";"40%"
"2015-02-09";"89";" 55321 (  2632, 108010)";"1335 ( -409,  3079)";" 299175 (  -4735,  603085)";" 7176 (-2541, 16892)";" 82750 (-29521, 195021)";" 53350 (-16506, 123207)";" 9894 ( -2532, 22320)";"15811 (-1927,  33549)";" 28460 ( -3469,  60389)";"40%"
"2015-02-08";"88";" 53986 (  3038, 104935)";"1304 ( -391,  2998)";" 291999 (  -2209,  586208)";" 7012 (-2444, 16468)";" 80868 (-28406, 190143)";" 52107 (-15782, 119996)";" 9659 ( -2401, 21719)";"15441 (-1797,  32679)";" 27795 ( -3234,  58823)";"40%"
"2015-02-07";"87";" 52683 (  3425, 101940)";"1273 ( -373,  2919)";" 284987 (    220,  569754)";" 6852 (-2348, 16052)";" 79022 (-27310, 185354)";" 50888 (-15075, 116851)";" 9429 ( -2274, 21132)";"15079 (-1669,  31827)";" 27143 ( -3004,  57289)";"40%"
"2015-02-06";"86";" 51409 (  3795,  99024)";"1243 ( -356,  2842)";" 278135 (   2553,  553717)";" 6695 (-2255, 15644)";" 77210 (-26234, 180654)";" 49694 (-14384, 113772)";" 9204 ( -2150, 20557)";"14724 (-1545,  30994)";" 26504 ( -2780,  55788)";"40%"
"2015-02-05";"85";" 50166 (  4148,  96185)";"1214 ( -339,  2767)";" 271440 (   4793,  538088)";" 6540 (-2163, 15244)";" 75433 (-25179, 176044)";" 48525 (-13710, 110759)";" 8984 ( -2030, 19997)";"14377 (-1423,  30177)";" 25879 ( -2562,  54319)";"40%"
"2015-02-04";"84";" 48952 (  4483,  93421)";"1185 ( -322,  2693)";" 264900 (   6941,  522859)";" 6389 (-2073, 14851)";" 73690 (-24145, 171524)";" 47379 (-13052, 107811)";" 8768 ( -1913, 19449)";"14037 (-1305,  29379)";" 25266 ( -2349,  52882)";"40%"
"2015-02-03";"83";" 47767 (  4802,  90731)";"1157 ( -306,  2621)";" 258511 (   8999,  508023)";" 6240 (-1985, 14466)";" 71981 (-23132, 167093)";" 46258 (-12412, 104928)";" 8558 ( -1799, 18914)";"13704 (-1190,  28598)";" 24667 ( -2143,  51477)";"40%"
"2015-02-02";"82";" 46610 (  5106,  88114)";"1130 ( -291,  2550)";" 252271 (  10970,  493572)";" 6095 (-1900, 14089)";" 70305 (-22141, 162751)";" 45160 (-11788, 102109)";" 8352 ( -1689, 18392)";"13378 (-1079,  27835)";" 24080 ( -1942,  50102)";"40%"
"2015-02-01";"81";" 45480 (  5393,  85566)";"1103 ( -276,  2481)";" 246176 (  12855,  479497)";" 5952 (-1815, 13720)";" 68663 (-21172, 158498)";" 44086 (-11181,  99353)";" 8150 ( -1583, 17883)";"13059 ( -970,  27088)";" 23506 ( -1747,  48759)";"40%"
